fiscal_year,region,revenue_eur_m
2020,EMEA,2322
2020,Americas,1495
2020,Asia-Pacific (excl. Japan/Greater China),1291
2020,Greater China,3174
2020,Japan,285
2021,EMEA,2773
2021,Americas,1841
2021,Asia-Pacific (excl. Japan/Greater China),1744
2021,Greater China,4195
2021,Japan,507
2022,EMEA,3399
2022,Americas,2160
2022,Asia-Pacific (excl. Japan/Greater China),2343
2022,Greater China,5204
2022,Japan,1112
2023,EMEA,4360
2023,Americas,1962
2023,Asia-Pacific (excl. Japan/Greater China),2594
2023,Greater China,5275
2023,Japan,818
2024,EMEA,3865
2024,Americas,1581
2024,Asia-Pacific (excl. Japan/Greater China),2461
2024,Greater China,5130
2024,Japan,918
