fiscal_year	segment	revenue_eur_m
2020	Automotive	3521
2020	Green Industrial Power	1406
2020	Power & Sensor Systems	2650
2020	Connected Secure Systems	974
2021	Automotive	4841
2021	Green Industrial Power	1542
2021	Power & Sensor Systems	3268
2021	Connected Secure Systems	1397
2022	Automotive	6516
2022	Green Industrial Power	1790
2022	Power & Sensor Systems	4070
2022	Connected Secure Systems	1822
2023	Automotive	8242
2023	Green Industrial Power	2205
2023	Power & Sensor Systems	3798
2023	Connected Secure Systems	2046
2024	Automotive	8423
2024	Green Industrial Power	1934
2024	Power & Sensor Systems	3088
2024	Connected Secure Systems	1506
